PeriodID,NodeName,CutPattern,CutPatternType,CutPatternOutput,CutPatternOutputQty,DowngradeOutputQty,FgProduct,FgType,FgInput,FgInputQty
1,A01,23101617-ABF-34,001-C09,20001503-ABF-34,1502.997,7748.998,10044609,1,20001503-ABF-1234,900
1,A01,23101617-ABF-34,001-C09,20001503-ABF-34,1502.997,7748.998,10044602,1,20001503-ABF-1234,7900.012
1,A01,23101500-ABF-34,001-C09,20001503-ABF-34,2053,8299.001,10044609,1,20001503-ABF-1234,900
1,A01,23101500-ABF-34,001-C09,20001503-ABF-34,2053,8299.001,10044602,1,20001503-ABF-1234,7900.012
1,A01,23102683-ABF-34,001-C08,20001503-ABF-34,500,6746.001,10044609,1,20001503-ABF-1234,900
1,A01,23102683-ABF-34,001-C08,20001503-ABF-34,500,6746.001,10044602,1,20001503-ABF-1234,7900.012
1,A01,23102761-ABF-34,001-C08,20001503-ABF-34,1500.003,7746.004,10044609,1,20001503-ABF-1234,900
1,A01,23102761-ABF-34,001-C08,20001503-ABF-34,1500.003,7746.004,10044602,1,20001503-ABF-1234,7900.012
1,A01,23101630-ABF-34,001-C08,20001503-ABF-34,690,6936.001,10044609,1,20001503-ABF-1234,900
1,A01,23101630-ABF-34,001-C08,20001503-ABF-34,690,6936.001,10044602,1,20001503-ABF-1234,7900.012
1,A01,23102683-ABF-34,001-C08,20001503-ABF-34,500,500,10098734,1,20001503-NFA-1234,1580
1,A01,23102761-ABF-34,001-C08,20001503-ABF-34,1500.003,1500.003,10098734,1,20001503-NFA-1234,1580
1,A01,23101630-ABF-34,001-C08,20001503-ABF-34,690,690,10098734,1,20001503-NFA-1234,1580
1,A01,23101617-ABF-34,001-C09,20001503-ABF-34,1502.997,1502.997,10098734,1,20001503-NFA-1234,1580
1,A01,23101500-ABF-34,001-C09,20001503-ABF-34,2053,2053,10098734,1,20001503-NFA-1234,1580
1,A01,23101500-ABF-34,001-C09,20001503-ABF-34,2053,2053,10044954,1,20001503-NFA-12345,656
1,A01,23101500-ABF-34,001-C09,20001503-ABF-34,2053,2053,10044957,1,20001503-NFA-12345,2158
1,A01,23101617-ABF-34,001-C09,20001503-ABF-34,1502.997,1502.997,10044954,1,20001503-NFA-12345,656
1,A01,23101617-ABF-34,001-C09,20001503-ABF-34,1502.997,1502.997,10044957,1,20001503-NFA-12345,2158
1,A01,23102761-ABF-34,001-C08,20001503-ABF-34,1500.003,1500.003,10044954,1,20001503-NFA-12345,656
1,A01,23102761-ABF-34,001-C08,20001503-ABF-34,1500.003,1500.003,10044957,1,20001503-NFA-12345,2158
1,A01,23102683-ABF-34,001-C08,20001503-ABF-34,500,500,10044954,1,20001503-NFA-12345,656
1,A01,23102683-ABF-34,001-C08,20001503-ABF-34,500,500,10044957,1,20001503-NFA-12345,2158
1,A01,23101630-ABF-34,001-C08,20001503-ABF-34,690,690,10044954,1,20001503-NFA-12345,656
1,A01,23101630-ABF-34,001-C08,20001503-ABF-34,690,690,10044957,1,20001503-NFA-12345,2158
1,A01,23102683-ABF-34,001-C08,20001503-ABF-34,500,500,10098784,1,20001503-NFA-34,400
1,A01,23102761-ABF-34,001-C08,20001503-ABF-34,1500.003,1500.003,10098784,1,20001503-NFA-34,400
1,A01,23101630-ABF-34,001-C08,20001503-ABF-34,690,690,10098784,1,20001503-NFA-34,400
1,A01,23101500-ABF-34,001-C09,20001503-ABF-34,2053,2053,10098784,1,20001503-NFA-34,400
1,A01,23101617-ABF-34,001-C09,20001503-ABF-34,1502.997,1502.997,10098784,1,20001503-NFA-34,400
1,A01,23101617-ABF-4,001-C08,20001503-ABF-4,1486.002,2972.005,10044602,1,20001503-ABF-1234,7900.012
1,A01,23101617-ABF-4,001-C08,20001503-ABF-4,1486.002,2972.005,10044609,1,20001503-ABF-1234,900
1,A01,23101617-ABF-4,001-C08,20001503-ABF-4,1486.002,1486.002,10098734,1,20001503-NFA-1234,1580
1,A01,23101617-ABF-4,001-C08,20001503-ABF-4,1486.002,1486.002,10044957,1,20001503-NFA-12345,2158
1,A01,23101617-ABF-4,001-C08,20001503-ABF-4,1486.002,1486.002,10044954,1,20001503-NFA-12345,656
1,A01,23101617-ABF-4,001-C08,20001503-ABF-4,1486.002,1486.002,10098784,1,20001503-NFA-34,400
1,A01,23101588-FA-12,001-C08,20001503-FA-12,852.01,1704.021,10040748,1,20001503-NFA-12,1258.016
1,A01,23101588-FA-12,001-C08,20001503-FA-12,852.01,1704.021,10098744,1,20001503-NFA-12,3750
1,A01,23101588-FA-12,001-C08,20001503-FA-12,852.01,852.01,10040747,1,20001503-NFA-123,7878.006
1,A01,23101588-FA-12,001-C08,20001503-FA-12,852.01,852.01,10043734,1,20001503-NFA-123,30
1,A01,23101588-FA-12,001-C08,20001503-FA-12,852.01,852.01,10098734,1,20001503-NFA-1234,1580
1,A01,23101588-FA-12,001-C08,20001503-FA-12,852.01,852.01,10044954,1,20001503-NFA-12345,656
1,A01,23101588-FA-12,001-C08,20001503-FA-12,852.01,852.01,10044957,1,20001503-NFA-12345,2158
1,A01,23102679-FA-3,001-C08,20001503-FA-3,810,1620.001,10043734,1,20001503-NFA-123,30
1,A01,23102679-FA-3,001-C08,20001503-FA-3,810,1620.001,10040747,1,20001503-NFA-123,7878.006
1,A01,23102679-FA-3,001-C08,20001503-FA-3,810,810,10098734,1,20001503-NFA-1234,1580
1,A01,23102679-FA-3,001-C08,20001503-FA-3,810,810,10044957,1,20001503-NFA-12345,2158
1,A01,23102679-FA-3,001-C08,20001503-FA-3,810,810,10044954,1,20001503-NFA-12345,656
1,A01,23102679-FA-3,001-C08,20001503-FA-3,810,810,10098784,1,20001503-NFA-34,400
1,A01,23101644-HP-23,001-C09,20001503-HP-23,1068,2136.001,10044602,1,20001503-ABF-1234,7900.012
1,A01,23101644-HP-23,001-C09,20001503-HP-23,1068,2136.001,10044609,1,20001503-ABF-1234,900
1,A01,23101644-HP-23,001-C09,20001503-HP-23,1068,1068,10040747,1,20001503-NFA-123,7878.006
1,A01,23101644-HP-23,001-C09,20001503-HP-23,1068,1068,10043734,1,20001503-NFA-123,30
1,A01,23101644-HP-23,001-C09,20001503-HP-23,1068,1068,10098734,1,20001503-NFA-1234,1580
1,A01,23101644-HP-23,001-C09,20001503-HP-23,1068,1068,10044957,1,20001503-NFA-12345,2158
1,A01,23101644-HP-23,001-C09,20001503-HP-23,1068,1068,10044954,1,20001503-NFA-12345,656
1,A01,23102634-NFA-1,001-C08,20001503-NFA-1,531.994,1063.989,10040748,1,20001503-NFA-12,1258.016
1,A01,23102634-NFA-1,001-C08,20001503-NFA-1,531.994,1063.989,10098744,1,20001503-NFA-12,3750
1,A01,23102634-NFA-1,001-C08,20001503-NFA-1,531.994,531.994,10040747,1,20001503-NFA-123,7878.006
1,A01,23102634-NFA-1,001-C08,20001503-NFA-1,531.994,531.994,10043734,1,20001503-NFA-123,30
1,A01,23102634-NFA-1,001-C08,20001503-NFA-1,531.994,531.994,10098734,1,20001503-NFA-1234,1580
1,A01,23102634-NFA-1,001-C08,20001503-NFA-1,531.994,531.994,10044954,1,20001503-NFA-12345,656
1,A01,23102634-NFA-1,001-C08,20001503-NFA-1,531.994,531.994,10044957,1,20001503-NFA-12345,2158
1,A01,23102647-NFA-12,001-C08,20001503-NFA-12,2580.006,2580.006,10043734,1,20001503-NFA-123,30
1,A01,23102647-NFA-12,001-C08,20001503-NFA-12,2580.006,2580.006,10040747,1,20001503-NFA-123,7878.006
1,A01,23102647-NFA-12,001-C08,20001503-NFA-12,2580.006,2580.006,10098734,1,20001503-NFA-1234,1580
1,A01,23102647-NFA-12,001-C08,20001503-NFA-12,2580.006,2580.006,10044957,1,20001503-NFA-12345,2158
1,A01,23102647-NFA-12,001-C08,20001503-NFA-12,2580.006,2580.006,10044954,1,20001503-NFA-12345,656
1,A01,23102645-NFA-1234,001-C08,20001503-NFA-1234,1480,1480,10044957,1,20001503-NFA-12345,2158
1,A01,23102645-NFA-1234,001-C08,20001503-NFA-1234,1480,1480,10044954,1,20001503-NFA-12345,656
1,A01,23102634-NFA-2,001-C08,20001503-NFA-2,1044,2088.001,10098744,1,20001503-NFA-12,3750
1,A01,23102634-NFA-2,001-C08,20001503-NFA-2,1044,2088.001,10040748,1,20001503-NFA-12,1258.016
1,A01,23102634-NFA-2,001-C08,20001503-NFA-2,1044,1044,10043734,1,20001503-NFA-123,30
